,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Titanic,LFR,Random Forest,"{'n_estimators': 120, 'random_state': 42}",0.6640814064628963,0.2244713108857897,0.6093006187269183,0.05110665974837547,0.3710670314637483,0.12759178879868535,0.6463167494173675,0.5068781421521148,0.15246579400991167,0.025378469301934402,0.23666697171211845,0.17593797378635034,0.17593797378635034,0.12759178879868535,0.07648512905030987,0.4709569347873117
1,Titanic,LFR,Random Forest,"{'n_estimators': 140, 'random_state': 42}",0.6719769995729363,0.2071112823792644,0.6205883449086254,0.05273914829213394,0.3973324213406293,0.11250100474238406,0.6645227442207309,0.5084826565839224,0.15615573152337858,0.03866694701429774,0.24905690114493728,0.17647561386880944,0.17647561386880944,0.11250100474238406,0.05976185645025009,0.4833521562378072
2,Titanic,LFR,Random Forest,"{'n_estimators': 160, 'random_state': 42}",0.6708407052650844,0.23000349037322787,0.6175042780976433,0.03389983241223776,0.38563611491108074,0.09533330654020308,0.6564945226917058,0.48262906247980875,0.150627558715794,0.02753364171572751,0.24117401826205437,0.1738901148564035,0.1738901148564035,0.09533330654020308,0.06143347412796531,0.48084441123955307
3,Titanic,LFR,Random Forest,"{'n_estimators': 180, 'random_state': 42}",0.6674521587049804,0.2346185739070623,0.6125410428035257,0.037771160637014245,0.3738714090287278,0.10523113540354921,0.6518564872757613,0.4970610269117732,0.14878932342167636,0.029688814129520617,0.235533219449698,0.1727593518800603,0.1727593518800603,0.10523113540354921,0.06745997476653492,0.47200921272635865
4,Titanic,LFR,Random Forest,"{'n_estimators': 200, 'random_state': 42}",0.6719642893457791,0.24159939796105717,0.6173375544314327,0.026375149241002926,0.37978796169630646,0.08674945743911261,0.6590630740967545,0.4750369139904024,0.14511285283344108,0.03399915895710682,0.2355408455859923,0.17274716894104808,0.17274716894104808,0.08674945743911261,0.06037430819810971,0.47711279078267166
5,Titanic,LFR,Naive Bayes,{},0.6415665100766681,0.12737421813854938,0.6139884397408337,0.09153805419574973,0.4962380300957593,0.11127566558601042,0.6157078215901746,0.5025118850343099,0.2682611506140918,0.1299201009251472,0.3560541353995078,0.20311236844559818,0.20311236844559818,0.11127566558601042,0.11050536853732817,0.5148636206998576
6,Titanic,LFR,Decision Tree,"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42}",0.6539310190551726,0.25805451345299096,0.5966714615184178,0.022534128021932887,0.347640218878249,0.05333150246943351,0.6268107989464442,0.48936075136900603,0.1542972958414135,0.0332632464255677,0.2287739206475098,0.1290167033525741,0.1290167033525741,0.05333150246943351,0.0307973744475006,0.5531456134793749
7,Titanic,LFR,Decision Tree,"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42}",0.650539930449637,0.2676086535803795,0.5953703216528115,0.025349421627806845,0.3560875512995896,0.03715805267529407,0.6314102564102564,0.4780906593406593,0.1653469079939668,0.013540790580319591,0.23888109328289917,0.1084225701283337,0.1084225701283337,0.03715805267529407,0.011808631047487236,0.588783472624936
8,Titanic,LFR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best', 'random_state': 42}",0.6573093974335509,0.2632809942892279,0.5956882193843548,0.04422182729583907,0.32729138166894667,0.10360345274138381,0.6336385300388813,0.5113047394678492,0.13591494290023703,0.02636669470142977,0.20962977650336567,0.1487796807821664,0.1487796807821664,0.10360345274138381,0.059381625445544726,0.4923344947735192
9,Titanic,LFR,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random', 'random_state': 42}",0.650539930449637,0.2676086535803795,0.5953703216528115,0.025349421627806845,0.3560875512995896,0.03715805267529407,0.6314102564102564,0.4780906593406593,0.1653469079939668,0.013540790580319591,0.23888109328289917,0.1084225701283337,0.1084225701283337,0.03715805267529407,0.011808631047487236,0.588783472624936
